NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30.0,1173,2,5,8,21,26,37,28.0,5100000.0,14/12/2021
30.0,1172,4,7,13,18,25,36,26.0,5000000.0,11/12/2021
30.0,1171,6,9,13,24,26,35,1.0,6300000.0,07/12/2021
30.0,1170,8,11,13,16,25,31,33.0,5300000.0,04/12/2021
30.0,1169,6,17,23,32,37,39,5.0,5200000.0,30/11/2021
30.0,1168,13,18,25,29,32,38,10.0,5100000.0,27/11/2021
30.0,1167,1,5,7,10,28,29,18.0,5000000.0,23/11/2021
30.0,1166,3,13,15,17,18,21,6.0,13500000.0,20/11/2021
30.0,1165,6,9,18,21,29,31,5.0,11900000.0,16/11/2021
30.0,1164,1,7,15,30,31,34,14.0,10300000.0,13/11/2021
30.0,1163,9,18,22,23,36,37,38.0,8700000.0,09/11/2021
30.0,1162,2,12,17,28,34,39,26.0,7000000.0,06/11/2021
30.0,1161,2,9,23,32,33,35,4.0,5400000.0,02/11/2021
30.0,1160,4,15,17,19,22,37,23.0,5300000.0,30/10/2021
